"Brasão","Apelido","Origem","Variantes","Grafia arcaica","Versão castelhana"
"","Carrilho","","","","Carrillo"
"","Carromeu","","","",""
"","Cartaxo","","","",""
"","Carvalhais","","","Carvalhaes",""
"","Carvalhal","","","","Carvajal, Carbajal"
"","Carvalheira","","","",""
"","Carvalheiro","","","",""
"","Carvalho","toponímica","","","Carballo"
"","Carvalhosa","","","",""
"","Carvalhoso","","","",""
"","Casado","","","","Casado"
"","Casalinho","","","",""
"","Cascais","Toponímica","","Cascaes",""
"","Casqueira","","","","Casquero"
"","Castanheira","","","",""
"","Castanho","","","","Castaño"
"","Castanheda","","","",""
"","Castelhano","","Castelão","","Castellano"
"","Castelo","toponímica","","Castello","Castelo"
"","Castelo Branco","toponímica","Castelbranco,Castel-Branco","Castello Branco",""
"","Castilho","","","","Castillo"
"","Castilhos","","","",""
"","Castro","","","","Castro"
"","Catela","","","Catella",""
"","Cavadas","","","",""
"","Cavaco","","","",""
"","Cavalheiro","patronímica","","","Caballero"
"","Cedraz","","","",""
"","Cedro","","","",""
"","Cerqueira","","","",""
"","Cerveira","","","","Cervera"
"","César","","","Cezar",""
"","Cesário","","","",""
"","Chagas","","","",""
"","Chainho","","","",""
"","Chamusca","","","",""
"","Charneca","","","",""
"","Chaves","","","","Chávez"
"","Chousa","","","","Choupina"
"","Cidreira","","","",""
"","Cipriano","","","",""
"","Cirne","","","Cyrne",""
"","Cisneiros","","","Cysneiros","Cisneros"
"","Clementino","","","",""
"","Cobra","","","",""
"","Coelho","","","","Coello, Conejo"
"","Coimbra","toponímica","","",""
"","Colaço","","","Collaço",""
"","Colares","","","Collares",""
"","Conceição","religiosa","","",""
"","Conde","","","","Conde"
"","Condorcet","","","",""
"","Cordeiro","","","","Cordero"
"","Correia","","","Correa, Corrêa","Correa"
"","Corte-Real","","","",""
"","Cortês","","","Cortez","Cortés, Cortez"
"","Cortesão","","","",""
"","Costa, da Costa","","","","Costa, Acosta"
"","Cotrim","","","",""
"","Couceiro","","","",""
"","Coutinho","","Coitinho","",""
"","Couto","","Coito","",""
"","Covilhã","","Covelhã","",""
"","Covinha","","","",""
"","Craveiro","","","",""
"","Cruz","","","","Cruz"
"","Cunha","","","","Acuña"
"","Curvelo","","Corvelo","",""
"","Custódio","","","",""
"","Curado","","","",""
"","Damasceno","","Damascena","",""
"","Damásio","","","Damazio",""
"","Dâmaso","","","",""
"","Dantas","","Antas","",""
"","Delgado","","","","Delgado"
"","Dias","patronímica","","","Díaz"
"","Diegues","patronímica","","",""
"","Dinis","","","Diniz",""
"","Dourado","toponímica","","","Dorado"
"","Doutel","toponímica","Dotel","D´Outel","Doutel"
"","Doutis","toponímica","","D'Outis","Doutiz"
"","Domingos","","","",""
"","Domingues","patronímica","","","Domínguez"
"","Dorneles","","Ornelles, Ornellas Ornelas","Dornelles",""
"","Duarte","","","","Duarte"
"","Durão","","","","Durán"
"","Durães","","","",""
"","Dutra","","","",""
"","Eanes","","Anes","","Yañez"
"","Eiró","","","",""
"","Escobar","","","","Escobar"
"","Espargosa","","","",""
"","Esparteiro","","","","Espartero"
"","Espinosa","","","d'Espinosa, Spinoza","Espinoza"
"","Espírito Santo","religiosa","","",""
"","Esteves","patronímica","","","Estévez"
"","Estrada","","","Strada","Estrada"
"","Estrela","","","Estrella",""
"","Faia","","","Faya",""
"","Fagundes","","","",""
"","Falcão","","","",""
"","Faleiro","","","",""
"","Faria","toponímica","","",""
"","Farias","","","",""
"","Farinha","","","",""
"","Faro","","","",""
"","Fartaria","","","",""
"","Faustino","","","",""
"","Fazendeiro","","","",""
"","Feijó","","","",""
"","Feira","","","","Feria"
"","Feitosa","","","",""
"","Félix","","","",""
"","Fernandes","patronímica","","","Fernández, Hernández"
"","Ferraço","","","",""
"","Ferrão","","","","Ferrón"
"","Ferraz","","","","Ferraz"
"","Ferreira","toponímico","","Ferreyra","Ferrera, Herrera"
"","Ferro","","","","Hierro"
"","Festas","","","","Fiestas"
"","Fiães","","","",""
"","Fialho","","","",""
"","Fidalgo","patronímica","","","Hidalgo"
"","Figueira","","Figuera","","Higuera"
"","Figueiredo","","","",""
"","Figueiró","","","",""
"","Figueiroa","","","","Figueroa"
"","Filgueiras","possivelmente toponímica","Felgueiras","",""
"","Filipe","","","","Felipe"
"","Fitas","","","",""
"","Fiúza","","","",""
"","Flávio","","","",""
"","Flores","","","","Flores"
"","Fogaça","","Fogassa","","Hogaza"
"","Fonseca","","","","Fonseca"
"","Fontes","","","","Fuentes"
"","Fontinha","","","",""
"","Fontoura","","","",""
"","Foquiço","","","",""
"","Fortes","","","",""
"","Fortunato","","","",""
"","Frade","toponímico","","","Frado"
"","Fraga","","","","Fraga"
"","Fragoso","","","",""
"","Frajuca","","","",""
"","Franca","","","",""
"","França","","","","Francia"
"","Franco","","","","Franco"
"","Franca","","","",""
"","Franqueira","","","",""
"","Frazão","","","",""
"","Freire","","Fréi*","Freyre","Freire"
"","Freiria","","","Freyria",""
"","Freitas","","","","Fleitas"
"","Freixo","","","",""
"","Frias","","","","Frías"
"","Frois","","Fróis","Froes",""
"","Frota","","","",""
"","Furquim","","","",""
"","Furtado","","","","Hurtado"
"","Gabeira","","","",""
"","Gadelha","","","",""
"","Gago","","","",""
"","Galante","","","",""
"","Galindo","","","Gallindo",""
"","Galvão","","","","Galván"
"","Gama","","Gamma","",""
"","Gameiro","","","",""
"","Garcez","","","","Garcés"
"","Garcia","","","","García"
"","Garrau","","","",""
"","Garrido","","","","Garrido"
"","Gaspar","","","",""
"","Gentil","","","",""
"","Gil","","","","Gil"
"","Ginjeira","","","",""
"","Girão","","","","Girón"
"","Godinho","","","",""
"","Godoi","","Godói","","Godoy"
"","Gois","patronímica","Góis","Goes",""
"","Gomes","patronímica","","","Gómez"
"","Gomide","","","",""
"","Gonçalves","patronímica","","Gonsalves","González"
"","Gorjão","","","",""
"","Goulart","","","",""
"","Gouveia","","","Gouvêa",""
"","Goulão","","","",""
"","Graça","","","","Gracia"
"","Grande","","","",""
"","Grangeia","","Granjeia","",""
"","Granja","","","",""
"","Granjeiro","","","",""
"","Gravato","","","",""
"","Grilo","","","Grillo",""
"","Guedelha","","","","Guedella"
"","Guedes","patronímica","","Guedez",""
"","Guerra","","","","Guerra"
"","Guerreiro","","","","Guerrero"
"","Guilheiro","","","",""
"","Guimarães","","Vímara* Vímarães*","Guimaraens",""
"","Gusmão","","Guzmon","","Guzmán"
"","Guterres","patronímica","","","Gutiérrez"
"","Henriques","patronímica","Henrique","","Enríquez"
"","Hernandes","","","","Hernández"
"","Hilário","","","",""
"","Hipólito","","","",""
"","Holanda","","","Hollanda",""
"","Homem","alcunha","","",""
"","Horta","","","",""
"","Igrejas","","","","Iglesias"
"","Ilha","","","","Isla"
"","Imperial","","","",""
"","Inácio","","","","Ignacio"
"","Inês","","","",""
"","Infante","","","",""
"","Jamandas","","","",""
"","Janes","","","","Yañez"
"","Jardim","","","",""
"","Jesus","religiosa","","","Jesús"
"","Jobim","toponímica","Jovim","",""
"","Jordão","","","","Jordán"
"","Jorge","","","",""
"","Júdice","","","",""
"","Junqueira","","","","Junquera"
"","Keil","","","",""
"","Lacerda","","La Cerda","","Lacerda"
"","Lage","","","","Lage"
"","Lages","","","","Lages"
"","Lago","","","","Lago"
"","Lagoa","","","",""
"","Lagos","","","","Lagos"
"","Lalanda","","Lalande","",""
"","Lamego","","","",""
"","Lameira","toponímica","","",""
"","Lameirinhas","","","",""
"","Lameiras","","","",""
"","Lamenha","","","",""
"","Lampreia","","","",""
"","Lancastre","toponímica","Alancastre,Alancastro,Lencastre Lencaster","",""
"","Landim","","","",""
"","Lara","","","",""
"","Laranjeira","","","Larangeira",""
"","Lários","","","",""
"","Laureano","","","",""
"","Leal","","","",""
"","Leão","toponímica","","","León"
"","Leiria","","","",""
"","Leitão","","","",""
"","Leite","","","",""
"","Leme","","","",""
"","Lemes","","","",""
"","Lemos","","","",""
"","Lessa","","Leça","",""
"","Letras","","","",""
"","Liberato","","","",""
"","Lima","","","",""
"","Linhares","","","","Linares"
"","Lindim","","","",""
"","Lins","","","",""
"","Lira","","","Lyra",""
"","Lisboa","toponímica","","",""
"","Lobato","","","","Lovato"
"","Lobo","","","",""
"","Loio","toponímica","Lóio, Loios","","Loyo"
"","Lopes","patronímica","","","López"
"","Lourenço","","","",""
"","Loureiro","","","",""
"","Lousã","","","Louzã",""
"","Lousada","","","Louzada","Lozada, Losada"
"","Lousado","","","",""
"","Lucas","","","","Lucas"
"","Lucena","","","","Lucena"
"","Lustosa","","","",""
"","Luz","","","",""
"","Macedo","","Macêdo","",""
"","Macena","","Massena","",""
"","Machado","","","","Machado"
"","Macieira","","","",""
"","Maciel","patronímica","","",""
"","Madeira","toponímica","","",""
"","Madruga","","","",""
"","Madureira","","","",""
"","Mafra","","","",""
"","Magalhães","","","","Magallanes"
"","Maia","","","Maya, Mahia",""
"","Mainha","","","",""
"","Maior","","","","Mayor"
"","Malafaia","","","Malafaya",""
"","Malheiro","","Malheiros","",""
"","Malho","","","",""
"","Malta","","","",""
"","Mamouros","","","",""
"","Mangueira","","","",""
"","Mansilha","","","","Mansilla"
"","Manso","","","",""
"","Mantas","","","",""
"","Maranhão","","","","Marañón"
"","Marçal","","","",""
"","Marcondes","","","",""
"","Marinho","","","","Marino"
"","Marins","","","",""
"","Mariz","","","",""
"","Marmou","","","",""
"","Marques","","","","Márquez"
"","Marreiro","","Marreiros","","Marrero"
"","Marroquim","","","",""
"","Martinho","","","",""
"","Martins","patronímica","","","Martínez"
"","Mascarenhas","","","","Mascareñas"
"","Mata","toponímica","","Matta","Mata"
"","Mateus","","","",""
"","Matias","patronímica","","Mathias","Matias"
"","Matos","","","Mattos",""
"","Matosinhos","","","Matozinhos",""
"","Matoso","","Mattoso","Mattozo",""
"","Medeiros","","","","Mederos"
"","Medina","","","","Medina"
"","Meira","","","","Miera"
"","Meireles","","","Meirelles",""
"","Melancia [1]","","","",""
"","Melgaço","","","",""
"","Mena","","","Menna","Mena"
"","Melo","toponímica","","Mello",""
"","Mendes","patronímica","","","Méndez"
"","Mendonça","","","Mendoça","Mendoza"
"","Meneses","patronímica","Menezes","","Meneses"
"","Mesquita","","","",""
"","Mexia","toponímica","","","Mejía"
"","Miguel","","","",""
"","Miguéis","","","Miguez",""
"","Mieiro","","","",""
"","Milhães","","","",""
"","Milheirão","","","",""
"","Milheiriço","","","",""
"","Milheiro","","","",""
"","Minho","","","",""
"","Miranda","","","",""
"","Mirandela","","","",""
"","Modesto","","","",""
"","Moita","","","Mouta",""
"","Mondragão","","toponímica","","Mondragón"
"","Monforte","","","",""
"","Monjardim","","","",""
"","Monsanto","","","",""
"","Mont'Alverne","","","",""
"","Monte","","","",""
"","Montenegro","","","",""
"","Monteiro","","","","Montero"
"","Morais","","","Moraes","Morales"
"","Morão","","Mourão","",""
"","Moreira","","","Moreyra","Morera"
"","Moreno","","","","Moreno"
"","Morgado","alcunha","","Maioricatus",""
"","Mortágua","","","",""
"","Mota","","","Motta",""
"","Moura","","Mora","","Mora"
"","Mourão","","Morão","",""
"","Mourato","","","",""
